11:;(گ.png, 0.63);(خ.png, 0.50);(ک.png, 0.47);(و.png, 0.38);(ذ.png, 0.34);(ع.png, 0.32);(ی.png, 0.27);(ق.png, 0.24);(ل.png, 0.22);(ث.png, 0.21);(ا.png, 0.18);(غ.png, 0.17);(ص.png, 0.17);(س.png, 0.16);(ژ.png, 0.16);(ت.png, 0.15);(ن.png, 0.15);(ر.png, 0.15);(ش.png, 0.14);(ظ.png, 0.13);(م.png, 0.13);(ز.png, 0.13);(ط.png, 0.13);(ض.png, 0.12);(د.png, 0.12);(ف.png, 0.11);(پ.png, 0.10);(ح.png, 0.10);(ج.png, 0.10);(چ.png, 0.10);(ب.png, 0.09);(ه.png, 0.05)
12:;(م.png, 0.39);(ف.png, 0.37);(ت.png, 0.35);(ص.png, 0.30);(ط.png, 0.28);(س.png, 0.24);(ن.png, 0.23);(ض.png, 0.23);(ل.png, 0.22);(ظ.png, 0.21);(ث.png, 0.21);(ق.png, 0.20);(پ.png, 0.18);(ب.png, 0.17);(ی.png, 0.16);(ش.png, 0.15);(ک.png, 0.14);(خ.png, 0.13);(ر.png, 0.13);(ذ.png, 0.12);(غ.png, 0.12);(گ.png, 0.12);(و.png, 0.11);(ز.png, 0.11);(ژ.png, 0.10);(ع.png, 0.10);(ا.png, 0.10);(د.png, 0.09);(ج.png, 0.06);(ح.png, 0.06);(چ.png, 0.06);(ه.png, 0.05)
13:;(ا.png, 0.54);(د.png, 0.27);(ذ.png, 0.22);(ع.png, 0.17);(ی.png, 0.17);(ک.png, 0.16);(ج.png, 0.16);(چ.png, 0.16);(ح.png, 0.15);(گ.png, 0.15);(خ.png, 0.14);(و.png, 0.13);(ظ.png, 0.12);(ق.png, 0.12);(ل.png, 0.12);(ص.png, 0.11);(ث.png, 0.11);(ت.png, 0.11);(ط.png, 0.11);(س.png, 0.09);(ن.png, 0.09);(م.png, 0.09);(غ.png, 0.09);(ژ.png, 0.09);(ر.png, 0.08);(ش.png, 0.08);(ف.png, 0.08);(ض.png, 0.08);(ز.png, 0.08);(پ.png, 0.07);(ب.png, 0.07);(ه.png, 0.06)
14:;(ه.png, 0.21);(د.png, 0.11);(چ.png, 0.08);(ا.png, 0.08);(ج.png, 0.08);(ح.png, 0.08);(ظ.png, 0.07);(ذ.png, 0.07);(ی.png, 0.06);(ط.png, 0.06);(ک.png, 0.06);(ع.png, 0.06);(ت.png, 0.06);(ل.png, 0.06);(ص.png, 0.06);(گ.png, 0.06);(ق.png, 0.06);(خ.png, 0.06);(و.png, 0.05);(ث.png, 0.05);(م.png, 0.05);(س.png, 0.05);(ف.png, 0.05);(ن.png, 0.05);(ض.png, 0.05);(غ.png, 0.05);(ش.png, 0.05);(ر.png, 0.05);(ژ.png, 0.05);(پ.png, 0.04);(ب.png, 0.04);(ز.png, 0.04)
15:;(ط.png, 0.50);(ت.png, 0.48);(ظ.png, 0.36);(ص.png, 0.35);(ل.png, 0.26);(م.png, 0.25);(ف.png, 0.23);(ق.png, 0.23);(ث.png, 0.21);(س.png, 0.20);(ی.png, 0.20);(ن.png, 0.20);(ض.png, 0.17);(ک.png, 0.16);(ذ.png, 0.15);(خ.png, 0.14);(ش.png, 0.14);(پ.png, 0.14);(گ.png, 0.13);(ب.png, 0.13);(ر.png, 0.12);(و.png, 0.12);(غ.png, 0.12);(ا.png, 0.11);(ع.png, 0.11);(د.png, 0.11);(ز.png, 0.10);(ژ.png, 0.10);(ج.png, 0.07);(ح.png, 0.07);(چ.png, 0.07);(ه.png, 0.05)
16:;(ن.png, 0.54);(س.png, 0.54);(م.png, 0.49);(ض.png, 0.39);(ث.png, 0.31);(ف.png, 0.30);(ص.png, 0.29);(ت.png, 0.27);(ل.png, 0.25);(ش.png, 0.25);(ق.png, 0.25);(پ.png, 0.24);(ب.png, 0.21);(ر.png, 0.19);(ط.png, 0.18);(غ.png, 0.17);(ی.png, 0.17);(خ.png, 0.16);(ظ.png, 0.16);(ک.png, 0.16);(ز.png, 0.14);(گ.png, 0.14);(و.png, 0.13);(ذ.png, 0.13);(ژ.png, 0.13);(ع.png, 0.11);(ا.png, 0.10);(د.png, 0.08);(ح.png, 0.06);(ج.png, 0.06);(چ.png, 0.06);(ه.png, 0.04)
17:;(ک.png, 0.52);(ذ.png, 0.48);(گ.png, 0.42);(خ.png, 0.37);(ی.png, 0.33);(ع.png, 0.30);(و.png, 0.29);(ق.png, 0.24);(ل.png, 0.22);(ا.png, 0.21);(ث.png, 0.20);(ص.png, 0.18);(ت.png, 0.16);(س.png, 0.15);(غ.png, 0.15);(ن.png, 0.15);(ظ.png, 0.15);(ژ.png, 0.14);(ر.png, 0.14);(ط.png, 0.13);(ش.png, 0.13);(م.png, 0.13);(د.png, 0.13);(ض.png, 0.12);(ز.png, 0.12);(ف.png, 0.11);(ح.png, 0.10);(ج.png, 0.10);(چ.png, 0.10);(پ.png, 0.10);(ب.png, 0.09);(ه.png, 0.05)
18:;(ا.png, 0.54);(د.png, 0.27);(ذ.png, 0.22);(ع.png, 0.17);(ی.png, 0.17);(ک.png, 0.16);(ج.png, 0.16);(چ.png, 0.16);(ح.png, 0.15);(گ.png, 0.15);(خ.png, 0.14);(و.png, 0.13);(ظ.png, 0.12);(ق.png, 0.12);(ل.png, 0.12);(ص.png, 0.11);(ث.png, 0.11);(ت.png, 0.11);(ط.png, 0.11);(س.png, 0.09);(ن.png, 0.09);(م.png, 0.09);(غ.png, 0.09);(ژ.png, 0.09);(ر.png, 0.08);(ش.png, 0.08);(ف.png, 0.08);(ض.png, 0.08);(ز.png, 0.08);(پ.png, 0.07);(ب.png, 0.07);(ه.png, 0.06)
19:;(م.png, 0.59);(ت.png, 0.37);(ف.png, 0.36);(ص.png, 0.35);(س.png, 0.31);(ن.png, 0.30);(ض.png, 0.27);(ل.png, 0.26);(ث.png, 0.25);(ط.png, 0.24);(ق.png, 0.23);(ظ.png, 0.20);(پ.png, 0.19);(ش.png, 0.18);(ب.png, 0.18);(ی.png, 0.17);(ک.png, 0.15);(ر.png, 0.15);(خ.png, 0.15);(غ.png, 0.14);(ذ.png, 0.13);(گ.png, 0.13);(و.png, 0.12);(ز.png, 0.12);(ژ.png, 0.11);(ع.png, 0.10);(ا.png, 0.10);(د.png, 0.09);(ج.png, 0.06);(ح.png, 0.06);(چ.png, 0.06);(ه.png, 0.04)
20:;(د.png, 0.19);(ا.png, 0.12);(ظ.png, 0.11);(ط.png, 0.10);(ی.png, 0.10);(ذ.png, 0.10);(ه.png, 0.10);(چ.png, 0.09);(ج.png, 0.09);(ت.png, 0.09);(ک.png, 0.09);(ح.png, 0.09);(ص.png, 0.09);(ل.png, 0.08);(ق.png, 0.08);(ع.png, 0.08);(گ.png, 0.08);(خ.png, 0.08);(ث.png, 0.08);(م.png, 0.07);(و.png, 0.07);(ف.png, 0.07);(س.png, 0.07);(ن.png, 0.07);(ض.png, 0.06);(ش.png, 0.06);(غ.png, 0.06);(ر.png, 0.06);(پ.png, 0.06);(ژ.png, 0.06);(ب.png, 0.06);(ز.png, 0.05)
21:;(ف.png, 0.56);(م.png, 0.44);(ض.png, 0.32);(ن.png, 0.26);(س.png, 0.26);(پ.png, 0.24);(ت.png, 0.24);(ب.png, 0.23);(ص.png, 0.23);(ث.png, 0.20);(ط.png, 0.19);(ل.png, 0.19);(ق.png, 0.18);(ش.png, 0.18);(ظ.png, 0.16);(ر.png, 0.14);(ی.png, 0.14);(غ.png, 0.13);(ک.png, 0.13);(خ.png, 0.12);(ز.png, 0.12);(گ.png, 0.11);(ذ.png, 0.11);(و.png, 0.11);(ژ.png, 0.10);(ع.png, 0.09);(ا.png, 0.09);(د.png, 0.08);(ج.png, 0.06);(ح.png, 0.06);(چ.png, 0.06);(ه.png, 0.04)
22:;(ط.png, 0.50);(ت.png, 0.48);(ظ.png, 0.36);(ص.png, 0.35);(ل.png, 0.26);(م.png, 0.25);(ف.png, 0.23);(ق.png, 0.23);(ث.png, 0.21);(س.png, 0.20);(ی.png, 0.20);(ن.png, 0.20);(ض.png, 0.17);(ک.png, 0.16);(ذ.png, 0.15);(خ.png, 0.14);(ش.png, 0.14);(پ.png, 0.14);(گ.png, 0.13);(ب.png, 0.13);(ر.png, 0.12);(و.png, 0.12);(غ.png, 0.12);(ا.png, 0.11);(ع.png, 0.11);(د.png, 0.11);(ز.png, 0.10);(ژ.png, 0.10);(ج.png, 0.07);(ح.png, 0.07);(چ.png, 0.07);(ه.png, 0.05)
